"","Site","MaPP_region","Date","Year","Month","Salinity","Temperature","Latitude","Longitude","date_diff","group"
"1","Bonilla Island","North Coast",2019-01-01,2019,1,30.3,8.2,53.4928,-130.636,1,1
"2","Bonilla Island","North Coast",2019-01-02,2019,1,30.5,8.5,53.4928,-130.636,1,1
"3","Bonilla Island","North Coast",2019-01-03,2019,1,30.7,8.5,53.4928,-130.636,1,1
"4","Bonilla Island","North Coast",2019-01-04,2019,1,30.6,8.3,53.4928,-130.636,1,1
"5","Bonilla Island","North Coast",2019-01-05,2019,1,31.3,8.1,53.4928,-130.636,1,1
"6","Bonilla Island","North Coast",2019-01-06,2019,1,31.6,7.9,53.4928,-130.636,1,1
"7","Bonilla Island","North Coast",2019-01-07,2019,1,31.2,7.4,53.4928,-130.636,1,1
"8","Bonilla Island","North Coast",2019-01-08,2019,1,31.2,7.7,53.4928,-130.636,1,1
"9","Bonilla Island","North Coast",2019-01-09,2019,1,30.7,7.6,53.4928,-130.636,1,1
"10","Bonilla Island","North Coast",2019-01-10,2019,1,30.6,7.8,53.4928,-130.636,1,1
"11","Bonilla Island","North Coast",2019-01-11,2019,1,30.4,8.1,53.4928,-130.636,1,1
"12","Bonilla Island","North Coast",2019-01-12,2019,1,31.9,7.4,53.4928,-130.636,1,1
"13","Bonilla Island","North Coast",2019-01-13,2019,1,30.9,8.2,53.4928,-130.636,1,1
"14","Bonilla Island","North Coast",2019-01-14,2019,1,30.7,8.4,53.4928,-130.636,1,1
"15","Bonilla Island","North Coast",2019-01-15,2019,1,30.9,7.9,53.4928,-130.636,1,1
"16","Bonilla Island","North Coast",2019-01-16,2019,1,30.7,7.7,53.4928,-130.636,1,1
"17","Bonilla Island","North Coast",2019-01-17,2019,1,30.8,7.3,53.4928,-130.636,1,1
"18","Bonilla Island","North Coast",2019-01-18,2019,1,30.9,8.1,53.4928,-130.636,1,1
"19","Bonilla Island","North Coast",2019-01-19,2019,1,30.8,8,53.4928,-130.636,1,1
"20","Bonilla Island","North Coast",2019-01-20,2019,1,30.8,8,53.4928,-130.636,1,1
"21","Bonilla Island","North Coast",2019-01-21,2019,1,30,8.1,53.4928,-130.636,1,1
"22","Bonilla Island","North Coast",2019-01-22,2019,1,30.7,7.9,53.4928,-130.636,1,1
"23","Bonilla Island","North Coast",2019-01-23,2019,1,30.8,8.3,53.4928,-130.636,1,1
"24","Bonilla Island","North Coast",2019-01-24,2019,1,30.1,8.2,53.4928,-130.636,1,1
"25","Bonilla Island","North Coast",2019-01-25,2019,1,30.5,8.5,53.4928,-130.636,1,1
"26","Bonilla Island","North Coast",2019-01-26,2019,1,30.8,8.4,53.4928,-130.636,1,1
"27","Bonilla Island","North Coast",2019-01-27,2019,1,30.4,8.3,53.4928,-130.636,1,1
"28","Bonilla Island","North Coast",2019-01-28,2019,1,30.2,8.1,53.4928,-130.636,1,1
"29","Bonilla Island","North Coast",2019-01-29,2019,1,30.1,7.9,53.4928,-130.636,1,1
"30","Bonilla Island","North Coast",2019-01-30,2019,1,30.5,7.7,53.4928,-130.636,1,1
"31","Bonilla Island","North Coast",2019-01-31,2019,1,30.6,8.1,53.4928,-130.636,1,1
"32","Bonilla Island","North Coast",2019-02-01,2019,2,30.3,8.2,53.4928,-130.636,1,1
"33","Bonilla Island","North Coast",2019-02-02,2019,2,30.9,7.6,53.4928,-130.636,1,1
"34","Bonilla Island","North Coast",2019-02-03,2019,2,30.9,7.2,53.4928,-130.636,1,1
"35","Bonilla Island","North Coast",2019-02-04,2019,2,30.1,7,53.4928,-130.636,1,1
"36","Bonilla Island","North Coast",2019-02-05,2019,2,31.2,7.3,53.4928,-130.636,1,1
"37","Bonilla Island","North Coast",2019-02-06,2019,2,30.6,6.9,53.4928,-130.636,1,1
"38","Bonilla Island","North Coast",2019-02-07,2019,2,31,7.1,53.4928,-130.636,1,1
"39","Bonilla Island","North Coast",2019-02-08,2019,2,30.5,7.3,53.4928,-130.636,1,1
"40","Bonilla Island","North Coast",2019-02-09,2019,2,31.7,6.4,53.4928,-130.636,1,1
"41","Bonilla Island","North Coast",2019-02-10,2019,2,31,6.7,53.4928,-130.636,1,1
"42","Bonilla Island","North Coast",2019-02-11,2019,2,31,6.6,53.4928,-130.636,1,1
"43","Bonilla Island","North Coast",2019-02-12,2019,2,30.9,6.2,53.4928,-130.636,1,1
"44","Bonilla Island","North Coast",2019-02-13,2019,2,30.7,6.3,53.4928,-130.636,1,1
"45","Bonilla Island","North Coast",2019-02-14,2019,2,30.9,5.9,53.4928,-130.636,1,1
"46","Bonilla Island","North Coast",2019-02-15,2019,2,30.6,5.8,53.4928,-130.636,1,1
"47","Bonilla Island","North Coast",2019-02-16,2019,2,30.1,6.5,53.4928,-130.636,1,1
"48","Bonilla Island","North Coast",2019-02-17,2019,2,30.7,6.6,53.4928,-130.636,1,1
"49","Bonilla Island","North Coast",2019-02-18,2019,2,30.3,6.6,53.4928,-130.636,1,1
"50","Bonilla Island","North Coast",2019-02-19,2019,2,30.7,6.6,53.4928,-130.636,1,1
"51","Bonilla Island","North Coast",2019-02-20,2019,2,30.6,6.6,53.4928,-130.636,1,1
"52","Bonilla Island","North Coast",2019-02-21,2019,2,30.6,6.7,53.4928,-130.636,1,1
"53","Bonilla Island","North Coast",2019-02-22,2019,2,30.2,6.8,53.4928,-130.636,1,1
"54","Bonilla Island","North Coast",2019-02-23,2019,2,30.1,6.7,53.4928,-130.636,1,1
"55","Bonilla Island","North Coast",2019-02-24,2019,2,30.6,6.8,53.4928,-130.636,1,1
"56","Bonilla Island","North Coast",2019-02-25,2019,2,30.8,6.2,53.4928,-130.636,1,1
"57","Bonilla Island","North Coast",2019-02-26,2019,2,31.1,6.1,53.4928,-130.636,1,1
"58","Bonilla Island","North Coast",2019-02-27,2019,2,30.9,5.9,53.4928,-130.636,1,1
"59","Bonilla Island","North Coast",2019-02-28,2019,2,30.8,6.2,53.4928,-130.636,1,1
"60","Bonilla Island","North Coast",2019-03-01,2019,3,30.8,6.3,53.4928,-130.636,1,1
